Omschrijving	Art.groep	Artikelsymbool	Gemiddeldekostprijs	Alternatiefnummer	Voorraadbijhouden	VbEnh	VkEnh	AkEnh	PrsEnh	Verkoopprijs	PercVk	Basisaankoopwaarde	Categorie	Basisgewicht	VrdEnh	UniekVolgnummer	MagazijnIN	MagazijnlocatieIN	MagazijnUIT	MagazijnlocatieUIT	Soortelijkgewicht	Datum vanaanpassing	Uur vanaanpassing	Aangepastdoor	Lotnr.leverancier	BOM	EAN13-code	Externe Omschrijving	Werknemer	Vervaldatum	Vervaldatumherziening	Aankoop-code	Soortartikel	Linkdocumentcenter	Laatste bestelprijs	Gevaarlijk en/of veiligheidsvoorschriften	Allergeen	Type artikel	Laatste ontvangstprijs	Netto gewicht	Standaardop voorraad	Budgetprijs	Afdeling	Verkoop-code	Halal	Bestemming	
Vam print	HFPRI	000222A00VAM/	302,2581	3BOA002221000	1	ST	ST	ST	ST	843,0000	0,00	302,9400		0,00	ST	0000004357	HMAG	EK03P3	HMAG	EK03P3	0,00	29/11/2018	15,40	vpa		1	="0000000254052"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,40	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Kriteria logica print LM10/2000	HFPRI	000528_00OPT/	157,5842	3BOA005280000	1	ST	ST	ST	ST	448,5000	0,00	190,0910		0,00	ST	0000004358	HMAG	EK03P3	HMAG	EK03P3	0,00	29/11/2018	15,40	vpa		1	="0000000254069"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Voedingsprint LM10/2000	HFPRI	000583_00OPT/	84,7201	3BOA005830000	1	ST	ST	ST	ST	256,0000	0,00	143,1480		0,00	ST	0000004359	HMAG	EK03P3	HMAG	EK03P3	0,00	29/11/2018	15,40	vpa		1	="0000000035385"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Fujitsu IO matrix keyboard LCD	HFPRI	010055B00OPT/	157,0867	3BOA010551000	1	ST	ST	ST	ST	436,5000	0,00	0,0000		0,00	ST	0000014204	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,40	vpa		1	="0000000134170"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
X-card motorcontroller	HFPRI	010056_00KOL/	165,0000	3BOA010560000	1	ST	ST	ST	ST	495,0000	0,00	165,0000		0,00	ST	0000004360	HMAG	EK03P4	HMAG	EK03P4	0,00	28/08/2018	16,17	msoft		0	="0000000254076"	?		31/12/2099	31/12/2099	Niet bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print bedieningspaneel P6P	HFPRI	010100_00OPT/	88,9232	3BOA011000000	1	ST	ST	ST	ST	263,5000	0,00	0,0000		0,00	ST	0000014209	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,40	vpa		1	="0000000134200"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check met CANBUS	HFPRI	020040D00OPT/	91,7193	3BOA020404000	1	ST	ST	ST	ST	235,0000	0,00	103,0210		0,00	ST	0000009538	HMAG	EK02P2	HMAG	EK02P2	0,00	29/11/2018	15,41	vpa		1	="0000000244909"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check canbus LVCC	HFPRI	020040E00OPT/	100,5193	="0000000334730"	1	ST	ST	ST	ST	274,0000	0,00	0,0000		0,00	ST	0000034021	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,41	vpa		1	="0000000334730"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check canbus LVCC 14 cellen	HFPRI	020040E01OPT/	91,4680	="0000000377102"	1	ST	ST	ST	ST	274,0000	0,00	0,0000		0,00	ST	0000038797	HMAG	GEEN	HMAG	GEEN	0,00	06/09/2018	08,57	mro		1	="0000000377102"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check canbus LVCC Rev. E 12 cellen - nieuw dossier !	HFPRI	020040E02OPT/	98,2338	="0000000382137"	1	ST	ST	ST	ST	274,0000	0,00	0,0000		0,00	ST	0000039273	HMAG	GEEN	HMAG	GEEN	0,00	25/06/2019	13,46	mro		1	="0000000382137"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
