Omschrijving	Art.groep	Artikelsymbool	Gemiddeldekostprijs	Alternatiefnummer	Voorraadbijhouden	VbEnh	VkEnh	AkEnh	PrsEnh	Verkoopprijs	PercVk	Basisaankoopwaarde	Categorie	Basisgewicht	VrdEnh	UniekVolgnummer	MagazijnIN	MagazijnlocatieIN	MagazijnUIT	MagazijnlocatieUIT	Soortelijkgewicht	Datum vanaanpassing	Uur vanaanpassing	Aangepastdoor	Lotnr.leverancier	BOM	EAN13-code	Externe Omschrijving	Werknemer	Vervaldatum	Vervaldatumherziening	Aankoop-code	Soortartikel	Linkdocumentcenter	Laatste bestelprijs	Gevaarlijk en/of veiligheidsvoorschriften	Allergeen	Type artikel	Laatste ontvangstprijs	Netto gewicht	Standaardop voorraad	Budgetprijs	Afdeling	Verkoop-code	Halal	Bestemming	
Samenstelling voor Deltro : HF-000526_APP - Ontvanger Applitek	HF	000526_00DEL	27,9583	="0000000085489"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000010261	HMAG	GEEN	HMAG	GEEN	0,00	28/08/2018	16,17	msoft		1	="0000000085489"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Samenstelling voor Deltro : HF-010028_APP - Zender Applitek	HF	010028_00DEL	1,5197	="0000000085502"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000010271	HMAG	GEEN	HMAG	GEEN	0,00	28/08/2018	16,17	msoft		1	="0000000085502"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O box APS FMB versneld	HF	020011B00KOL	499,3040	3APSK80060000	1	ST	ST	ST	ST	0,0000	0,00	278,2470		0,00	ST	0000020269	HMAG	GEEN	HMAG	GEEN	0,00	30/10/2018	09,44	mro		1	="0000000030328"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O box L/R APS FMB (LVSB met DIS)	HF	020013_00KOL	342,5386	3APSK80010200	1	ST	ST	ST	ST	0,0000	0,00	228,3850		0,00	ST	0000003850	HMAG	GEEN	HMAG	GEEN	0,00	30/10/2018	09,44	mro		1	="0000000030243"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
APS control unit versneld Rev F	HF	020014F00KOL	1207,8973	="0000000446013"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000046329	HMAG	GEEN	HMAG	GEEN	0,00	28/01/2020	13,50	TDM		1	="0000000446013"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Camerahouder LVS CAN C	HF	020026A00OPT	626,1584	="0000000152594"	1	ST	ST	ST	ST	2458,0000	0,00	0,0000		0,00	ST	0000016016	HMAG	MR3K4	HMAG	MR3K4	0,00	08/11/2018	11,38	mro		1	="0000000152594"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Camerahouder LVS B	HF	020026_00OPT	554,7332	3LUMB55001122	1	ST	ST	ST	ST	2399,0000	0,00	834,8760		1,00	ST	0000006129	HMAG	MR3K4	HMAG	MR3K4	0,00	27/02/2019	12,28	mro		1	="0000000053174"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Rolwagen APS FMB	HF	020027_00KOL	3991,9101	3APSK80010000	1	ST	ST	ST	ST	0,0000	0,00	2547,1540		2,49	ST	0000003849	HMAG	GEEN	HMAG	GEEN	0,00	30/10/2018	09,44	mro		1	="0000000030236"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Safetymodule FM	HF	020032_00KOL	108,3863	3APSK80010300	1	ST	ST	ST	ST	284,0000	0,00	90,6720		0,00	ST	0000003851	HMAG	MR1K7	HMAG	MR1K7	0,00	22/05/2019	16,18	mro		1	="0000000030250"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Lensfront canbus LVCC	HF	020039A01OPT	220,1918	="0000000449199"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000046716	HMAG	GEEN	HMAG	GEEN	0,00	05/09/2019	10,07	ban		1	="0000000449199"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
